11/14/19_18:40:44,31.225,0.00437803,0.0557685,0.0928378,0.510201,0.000148531,9.5497e-07,1,77,1.42593,0.00221467,1
11/14/19_18:52:40,15.8839,0.00403294,0.111239,0.0736365,3.77644,3.74236e-05,1.8626e-08,1,45,1.09756,0.00158058,1
11/14/19_18:51:23,4.83509,0.03178,0.266019,0.453727,2.98685,0.105825,0.023806,0,0,0,0.348561,1
11/14/19_19:16:28,16.3399,0.00714314,0.127927,0.0659064,1.91998,8.93912e-05,2.80105e-07,0,0,0,0.0062176,1
11/14/19_19:05:37,7.8426,0.00762897,0.173856,0.0959118,2.99439,3.43074e-05,-7.75304e-08,1,633,30.1429,0.000509853,0
11/14/19_19:21:34,6.02003,0.00570277,0.101337,0.034146,1.58461,0.000154698,4.57702e-10,0,0,0,0.0219845,1
11/14/19_19:43:27,9.31784,0.0013911,0.176495,0.00725596,0.836507,4.59555e-08,7.04982e-10,0,0,0,0,1
11/14/19_19:00:45,10.378,0.010449,0.0793356,0.0616613,0.825732,8.30939e-08,4.92891e-09,0,0,0,0,1
11/14/19_19:10:12,23.968,0.0033332,0.0625633,0.0803761,0.592894,0.000122873,4.90656e-07,0,0,0,0.00347023,1
11/14/19_19:13:41,4.45646,0.0171248,0.211413,0.119395,4.76092,0.164675,0.00646635,2,442,29.4667,0.528353,1
11/14/19_19:33:53,20.813,0.00639058,0.0699833,0.0276744,0.489094,0.000102106,5.36545e-08,0,0,0,0.00755224,1
11/14/19_19:37:24,21.2996,0.00327093,0.0688595,0.0749135,2.07693,0.00010036,4.95879e-06,0,0,0,0.0826578,1
11/14/19_19:10:53,16.0387,0.00621729,0.0934605,0.0495828,0.465355,2.24961e-05,1.30716e-07,0,0,0,0.0130526,1
11/14/19_19:32:47,10.3613,0.00186283,0.0720231,0.0487459,2.70813,2.19814e-05,0,0,0,0,0.00180337,1
11/14/19_19:00:22,11.0644,0.00569007,0.200633,0.172002,3.85486,0.00271689,0.000450136,0,0,0,0.133751,1
11/14/19_20:02:57,140.912,0.00786913,0.0585271,0.0955913,5.06226,0.00305401,0.000204375,0,0,0,0.0112886,1
11/14/19_19:38:42,4.47754,0.00936025,0.261533,0.287755,107.702,0.0250878,0.00793995,0,0,0,0.417914,1
11/14/19_19:23:39,4.86374,0.00264633,0.271443,0.0547776,0.768138,9.42484e-06,-1.57153e-09,0,0,0,0.0146611,1
11/14/19_19:37:47,4.58436,0.0328123,0.335293,0.281917,0.604397,0.216879,0.0146758,1,6119,437.071,0.310889,1
11/14/19_19:25:15,26.9097,0.00263689,0.163618,0.0794181,1.38522,2.14748e-06,1.36921e-08,1,198,4.95,0,1
11/14/19_19:47:18,61.7252,0.00903248,0.0289254,0.0240493,0.722239,0.000367913,2.84943e-05,0,0,0,0.00812277,1
11/14/19_19:41:11,9.55735,0.0214621,0.0721542,0.153756,2.6189,0.25524,0.00268014,0,0,0,0.468265,1
11/14/19_19:54:02,3.77929,0.00543643,0.311136,0.0620781,1.38053,0.000130719,0,0,0,0,0.0310291,1
11/14/19_19:44:46,75.0883,0.000981823,0.0169645,0.058521,0.397586,0.000178677,8.4577e-06,2,519,2.06773,0.0201178,1
11/14/19_19:57:56,8.99445,0.0113737,0.203913,0.0647007,1.00657,2.35053e-07,-1.7527e-11,0,0,0,0,1
11/14/19_18:40:22,18.9053,0.00550905,0.0686228,0.0604813,1.07442,4.11474e-05,1.40299e-10,0,0,0,0.00177742,1
11/14/19_18:44:20,2.80489,0.0156014,0.417739,0.492764,2.2427,0.198893,0.0774733,0,0,0,0.402043,0
11/14/19_18:47:15,5.92389,0.0112382,0.234019,0.0959532,1.49419,0.000991024,-3.35092e-09,0,0,0,0.0843415,1
11/14/19_19:52:04,71.761,0.00905502,0.108776,0.0885271,0.771412,0.00121527,3.43744e-05,1,14,0.109375,0.00384421,1
11/14/19_19:35:57,5.05796,0.00447037,0.600315,0.170583,1.58935,0.0239428,0.00400264,4,3408,309.818,0.0392556,1
11/14/19_20:03:47,17.4501,0.0150387,0.141503,0.0761513,1.18757,0.000351915,4.57795e-07,0,0,0,0.00530558,1
11/14/19_19:43:35,16.6884,0.00185325,0.0741183,0.0282459,2.8431,2.4035e-06,-9.51808e-11,0,0,0,0.000454073,1
11/14/19_19:48:33,11.1611,0.00261819,0.221909,0.0579051,0.422844,0.000125703,3.04268e-08,2,318,12.72,0.0331428,1
11/14/19_20:46:39,5.87343,0.00133511,0.127087,0.0515645,0.382659,2.78768e-05,7.32597e-10,0,0,0,0.0215979,1
11/14/19_19:53:12,9.24903,0.00114105,0.143599,0.031846,0.709527,1.98391e-07,0,1,185,8.80952,0.000428493,1
11/14/19_19:53:34,15.3036,0.00199925,0.177972,0.151052,0.566842,0.00742158,0.000181306,1,138,3.72973,0.669149,1
11/14/19_19:46:28,3.44241,0.0250416,0.177681,0.0948118,5.66538,0.02967,0.00152222,1,792,79.2,0.0273692,1
11/14/19_19:50:42,12.3971,0.000727773,0.520877,0.0564502,1.20142,0.00158918,4.47605e-05,1,4252,141.733,0.0646608,1
11/14/19_19:52:21,10.1081,0.00763374,0.121702,0.0430586,1.57851,3.01499e-06,5.80054e-10,0,0,0,0.00295882,1
11/14/19_20:03:42,7.45732,0.00254203,0.122017,0.081553,5.7442,0.00167998,-1.54238e-10,2,366,18.3,0.0470332,1
11/14/19_20:06:08,11.3499,0.00429713,0.133589,0.179043,1.88992,8.66998e-08,7.18504e-09,0,0,0,0,1
11/14/19_20:13:26,9.49473,0.00567589,0.170647,0.201398,0.653838,0.0183343,0.00138406,0,0,0,0.318107,1
11/14/19_20:15:21,19.6772,0.00606125,0.0832322,0.046185,1.08627,0.000105157,1.81431e-05,1,90,1.875,0.0483842,1
